iter	Passed	Remaining
164	692	3506
165	695	3495
166	698	3484
167	701	3472
168	703	3460
169	709	3464
170	713	3460
171	716	3447
172	718	3435
173	722	3431
174	725	3421
175	729	3415
176	732	3404
177	735	3396
178	739	3389
179	741	3380
180	744	3370
181	747	3359
182	750	3349
183	754	3345
184	757	3335
185	761	3330
186	763	3320
187	766	3311
188	770	3307
189	773	3298
190	777	3293
191	780	3284
192	783	3277
193	787	3270
194	790	3261
195	793	3253
196	796	3245
197	799	3237
198	803	3232
199	805	3223
200	808	3215
201	811	3205
202	814	3199
203	818	3195
204	821	3186
205	824	3178
206	827	3170
207	830	3162
208	834	3159
209	837	3151
210	841	3146
211	844	3138
212	847	3130
213	851	3126
214	854	3118
215	857	3110
216	859	3102
217	862	3094
218	866	3089
219	869	3082
220	872	3074
221	874	3066
222	877	3057
223	880	3049
224	884	3045
225	887	3039
226	890	3032
227	892	3023
228	895	3014
229	899	3011
230	902	3004
231	905	2996
232	907	2988
233	910	2981
234	915	2978
235	917	2971
236	921	2965
237	923	2957
238	926	2951
239	930	2947
240	933	2939
241	936	2932
242	939	2925
243	941	2917
244	945	2912
245	948	2907
246	951	2901
247	954	2894
248	957	2887
249	960	2880
250	964	2877
251	967	2872
252	970	2865
253	973	2859
254	976	2854
255	980	2849
256	983	2843
257	986	2837
258	989	2831
259	994	2830
260	997	2823
261	1000	2817
262	1003	2811
263	1008	2811
264	1012	2809
265	1016	2803
266	1019	2797
267	1021	2790
268	1024	2784
269	1027	2778
270	1030	2773
271	1033	2767
272	1036	2760
273	1039	2754
274	1043	2751
275	1046	2744
276	1049	2739
277	1052	2732
278	1055	2727
279	1058	2723
280	1061	2716
281	1064	2710
282	1068	2706
283	1070	2700
284	1074	2695
285	1077	2689
286	1080	2684
287	1083	2678
288	1086	2673
289	1090	2670
290	1093	2664
291	1097	2660
292	1099	2653
293	1102	2648
294	1106	2644
295	1109	2638
296	1112	2632
297	1114	2626
298	1117	2621
299	1122	2619
300	1125	2613
301	1129	2609
302	1131	2603
303	1134	2597
304	1138	2593
305	1141	2588
306	1145	2584
307	1147	2578
308	1150	2572
309	1154	2569
310	1157	2565
311	1161	2561
312	1164	2555
313	1168	2553
314	1172	2549
315	1176	2547
316	1180	2544
317	1184	2539
318	1187	2534
319	1191	2531
320	1194	2527
321	1197	2522
322	1202	2520
323	1205	2514
324	1208	2509
325	1211	2503
326	1213	2498
327	1218	2495
328	1221	2491
329	1224	2486
330	1227	2481
331	1230	2476
332	1234	2473
333	1238	2469
334	1241	2464
335	1244	2459
336	1248	2456
337	1252	2452
338	1256	2449
339	1258	2443
340	1262	2439
341	1266	2436
342	1269	2431
343	1272	2427
344	1275	2421
345	1278	2416
346	1282	2413
347	1285	2409
348	1288	2404
349	1291	2398
350	1295	2394
351	1298	2391
352	1301	2385
353	1304	2380
354	1307	2374
355	1309	2369
356	1313	2366
357	1316	2361
358	1320	2357
359	1323	2352
360	1325	2346
361	1329	2343
362	1332	2337
363	1336	2334
364	1338	2328
365	1341	2323
366	1345	2321
367	1349	2316
368	1352	2312
369	1354	2307
370	1358	2302
371	1362	2300
372	1366	2296
373	1369	2291
374	1372	2286
375	1375	2283
376	1379	2279
377	1382	2274
378	1385	2269
379	1388	2265
380	1391	2261
381	1396	2258
382	1400	2256
383	1403	2251
384	1407	2248
385	1411	2244
386	1413	2239
387	1416	2234
388	1419	2229
389	1421	2224
390	1425	2221
391	1428	2216
392	1432	2212
393	1434	2207
394	1437	2201
395	1441	2198
396	1444	2193
397	1449	2191
398	1451	2186
399	1455	2182
400	1459	2179
401	1461	2174
402	1464	2169
403	1467	2164
404	1470	2159
405	1474	2156
406	1477	2153
407	1480	2148
408	1484	2144
409	1488	2141
410	1491	2137
411	1495	2134
412	1499	2130
413	1501	2125
414	1505	2122
415	1508	2118
416	1512	2114
417	1515	2109
418	1523	2112
419	1526	2108
420	1529	2104
421	1532	2099
422	1537	2097
423	1540	2093
424	1544	2089
425	1547	2084
426	1550	2080
427	1553	2076
428	1557	2072
429	1561	2069
430	1564	2064
431	1568	2062
432	1572	2058
433	1575	2054
434	1578	2050
435	1581	2045
436	1585	2043
437	1588	2038
438	1592	2034
439	1595	2030
440	1597	2025
441	1601	2021
442	1604	2017
443	1607	2012
444	1609	2007
445	1613	2003
446	1617	2000
447	1623	2000
448	1626	1996
449	1629	1992
450	1634	1989
451	1638	1985
452	1641	1982
453	1645	1979
454	1651	1977
455	1655	1974
456	1658	1970
457	1661	1965
458	1665	1962
459	1668	1958
460	1671	1954
461	1674	1949
462	1676	1944
463	1680	1941
464	1684	1938
465	1688	1934
466	1690	1929
467	1693	1924
468	1697	1921
469	1700	1917
470	1704	1914
471	1707	1909
472	1710	1905
473	1713	1901
474	1716	1897
475	1720	1893
476	1723	1889
477	1726	1885
478	1730	1882
479	1733	1877
480	1736	1873
481	1738	1868
482	1741	1863
483	1744	1860
484	1747	1855
485	1750	1851
486	1754	1848
487	1757	1843
488	1760	1840
489	1764	1836
490	1768	1833
491	1771	1829
492	1774	1825
493	1778	1821
494	1781	1817
495	1783	1812
496	1786	1808
497	1789	1803
498	1793	1800
499	1796	1796
500	1800	1793
501	1803	1789
502	1806	1784
503	1810	1781
504	1814	1778
505	1817	1774
506	1820	1770
507	1824	1766
508	1826	1762
509	1829	1757
510	1832	1753
511	1835	1749
512	1838	1745
513	1842	1741
514	1844	1737
515	1847	1733
516	1850	1728
517	1852	1724
518	1857	1721
519	1859	1716
520	1863	1713
521	1865	1708
522	1868	1704
523	1873	1701
524	1876	1697
525	1880	1694
526	1883	1690
527	1887	1686
528	1890	1683
529	1893	1678
530	1896	1675
531	1899	1670
532	1902	1666
533	1905	1662
534	1908	1658
535	1911	1654
536	1914	1650
537	1916	1646
538	1920	1642
539	1923	1638
540	1927	1635
541	1930	1631
542	1933	1626
543	1937	1623
544	1939	1619
545	1943	1616
546	1947	1612
547	1949	1608
548	1953	1604
549	1956	1600
550	1960	1597
551	1962	1593
552	1966	1589
553	1969	1585
554	1972	1581
555	1977	1578
556	1979	1574
557	1983	1571
558	1986	1566
559	1989	1562
560	1992	1558
561	1995	1554
562	1997	1550
563	2001	1547
564	2004	1543
565	2007	1539
566	2009	1534
567	2012	1530
568	2016	1527
569	2019	1523
570	2022	1519
571	2025	1515
572	2027	1511
573	2031	1508
574	2034	1504
575	2037	1500
576	2040	1495
577	2043	1491
578	2047	1488
579	2051	1485
580	2055	1482
581	2057	1478
582	2060	1474
583	2065	1471
584	2068	1467
585	2072	1463
586	2074	1459
587	2077	1455
588	2080	1452
589	2083	1448
590	2086	1444
591	2089	1440
592	2092	1436
593	2096	1432
594	2099	1429
595	2103	1426
596	2106	1421
597	2109	1418
598	2113	1414
599	2115	1410
600	2119	1407
601	2124	1404
602	2128	1401
603	2131	1397
604	2135	1394
605	2140	1391
606	2144	1388
607	2147	1384
608	2150	1380
609	2153	1376
610	2156	1373
611	2160	1370
612	2163	1366
613	2166	1362
614	2169	1358
615	2172	1354
616	2176	1350
617	2178	1346
618	2181	1342
619	2184	1339
620	2187	1335
621	2191	1331
622	2194	1327
623	2197	1324
624	2200	1320
625	2203	1316
626	2205	1312
627	2209	1308
628	2212	1304
629	2215	1301
630	2218	1297
631	2220	1293
632	2224	1289
633	2227	1285
634	2231	1282
635	2234	1278
636	2236	1274
637	2240	1271
638	2243	1267
639	2246	1263
640	2249	1259
641	2252	1256
642	2256	1252
643	2259	1249
644	2264	1246
645	2267	1242
646	2270	1238
647	2273	1234
648	2276	1230
649	2278	1227
650	2281	1223
651	2283	1219
652	2287	1215
653	2290	1211
654	2293	1208
655	2296	1204
656	2298	1200
657	2303	1197
658	2306	1193
659	2309	1189
660	2312	1186
661	2315	1182
662	2319	1178
663	2322	1175
664	2325	1171
665	2328	1167
666	2331	1163
667	2335	1160
668	2339	1157
669	2342	1153
670	2345	1149
671	2348	1146
672	2351	1142
673	2355	1139
674	2359	1136
675	2364	1133
676	2368	1129
677	2375	1128
678	2385	1127
679	2407	1133
680	2420	1133
681	2423	1130
682	2427	1126
683	2435	1125
684	2440	1122
685	2444	1118
686	2448	1115
687	2452	1112
688	2457	1109
689	2460	1105
690	2464	1102
691	2467	1098
692	2470	1094
693	2473	1090
694	2476	1086
695	2480	1083
696	2483	1079
697	2485	1075
698	2488	1071
699	2491	1067
700	2494	1063
701	2497	1060
702	2500	1056
703	2503	1052
704	2506	1048
705	2509	1045
706	2513	1041
707	2516	1037
708	2519	1034
709	2523	1030
710	2526	1026
711	2537	1026
712	2542	1023
713	2547	1020
714	2550	1016
715	2553	1012
716	2557	1009
717	2561	1005
718	2564	1002
719	2568	998
720	2571	994
721	2577	992
722	2580	988
723	2583	984
724	2586	981
725	2589	977
726	2593	973
727	2596	970
728	2599	966
729	2602	962
730	2605	958
731	2609	955
732	2612	951
733	2615	948
734	2618	944
735	2621	940
736	2626	937
737	2628	933
738	2632	929
739	2634	925
740	2637	921
741	2641	918
742	2644	914
743	2647	910
744	2650	907
745	2652	903
746	2657	900
747	2660	896
748	2663	892
749	2666	888
750	2669	885
751	2673	881
752	2676	878
753	2679	874
754	2682	870
755	2686	867
756	2690	863
757	2694	860
758	2697	856
759	2699	852
760	2703	849
761	2706	845
762	2709	841
763	2712	837
764	2715	834
765	2717	830
766	2722	826
767	2725	823
768	2728	819
769	2731	815
770	2734	812
771	2738	808
772	2741	804
773	2744	801
774	2747	797
775	2751	794
776	2754	790
777	2756	786
778	2760	783
779	2763	779
780	2766	775
781	2769	772
782	2772	768
783	2775	764
784	2778	760
785	2781	757
786	2784	753
787	2787	750
788	2790	746
789	2793	742
790	2795	738
791	2798	734
792	2804	732
793	2808	728
794	2810	724
795	2812	720
796	2816	717
797	2819	713
798	2823	710
799	2826	706
800	2829	702
801	2832	699
802	2836	695
803	2838	692
804	2842	688
805	2844	684
806	2848	681
807	2851	677
808	2853	673
809	2857	670
810	2860	666
811	2864	663
812	2867	659
813	2869	655
814	2872	652
815	2875	648
816	2879	644
817	2882	641
818	2885	637
819	2888	633
820	2890	630
821	2893	626
822	2896	622
823	2899	619
824	2902	615
825	2905	612
826	2907	608
827	2911	604
828	2914	601
829	2916	597
830	2919	593
831	2922	590
832	2926	586
833	2929	583
834	2933	579
835	2938	576
836	2940	572
837	2944	569
838	2947	565
839	2950	562
840	2953	558
841	2956	554
842	2960	551
843	2963	547
844	2966	544
845	2969	540
846	2972	536
847	2976	533
848	2979	529
849	2981	526
850	2984	522
851	2987	518
852	2990	515
853	2994	511
854	2996	508
855	3000	504
856	3003	501
857	3006	497
858	3009	493
859	3012	490
860	3015	486
861	3017	483
862	3020	479
863	3024	476
864	3028	472
865	3032	469
866	3034	465
867	3037	461
868	3041	458
869	3043	454
870	3046	451
871	3049	447
872	3051	443
873	3056	440
874	3059	437
875	3062	433
876	3065	429
877	3067	426
878	3071	422
879	3074	419
880	3077	415
881	3080	412
882	3082	408
883	3085	404
884	3089	401
885	3092	397
886	3095	394
887	3098	390
888	3101	387
889	3105	383
890	3107	380
891	3110	376
892	3113	373
893	3115	369
894	3120	366
895	3123	362
896	3128	359
897	3131	355
898	3135	352
899	3138	348
900	3141	345
901	3144	341
902	3147	338
903	3151	334
904	3156	331
905	3160	327
906	3163	324
907	3166	320
908	3169	317
909	3172	313
910	3175	310
911	3177	306
912	3180	303
913	3184	299
914	3187	296
915	3189	292
916	3193	289
917	3195	285
918	3200	282
919	3203	278
920	3205	274
921	3208	271
922	3211	267
923	3215	264
924	3218	260
925	3221	257
926	3225	253
927	3227	250
928	3231	246
929	3234	243
930	3237	239
931	3240	236
932	3242	232
933	3245	229
934	3248	225
935	3251	222
936	3255	218
937	3258	215
938	3263	211
939	3266	208
940	3269	205
941	3272	201
942	3274	197
943	3278	194
944	3282	191
945	3284	187
946	3288	184
947	3290	180
948	3294	177
949	3297	173
950	3300	170
951	3303	166
952	3305	163
953	3308	159
954	3313	156
955	3316	152
956	3320	149
957	3323	145
958	3327	142
959	3330	138
960	3333	135
961	3335	131
962	3338	128
963	3341	124
964	3344	121
965	3348	117
966	3352	114
967	3355	110
968	3359	107
969	3362	104
970	3365	100
971	3369	97
972	3371	93
973	3376	90
974	3379	86
975	3383	83
976	3386	79
977	3389	76
978	3392	72
979	3395	69
980	3397	65
981	3400	62
982	3402	58
983	3408	55
984	3411	51
985	3415	48
986	3418	45
987	3421	41
988	3424	38
989	3427	34
990	3429	31
991	3432	27
992	3435	24
993	3438	20
994	3442	17
995	3444	13
996	3448	10
997	3450	6
998	3455	3
999	3457	0
